club,nation,coach,formation,mvp,position,season
Barcelona FC,Spain,Johan Cruyff,'4-4-2',unknown,runner up,'1993/1994'
AFC Ajax,Netherlands,Louis van Gaal,unknown,Frank Rijkaard,winner,'1994/1995'
AC Milan,Italy,Fabio Capello,unknown,unknown,runner up,'1994/1995'
Juventus,Italy,Marcello Lippi,unknown,Angelo Peruzzi,winner,'1995/1996'
AFC Ajax,Netherlands,Louis van Gaal,unknown,unknown,runner up,'1995/1996'
Borussia Dortmund,Germany,Ottmar Hitzfeld,'4-4-2',Karl-Heinz Riedle,winner,'1996/1997'
Juventus,Italy,Marcello Lippi,'4-4-2',unknown,runner up,'1996/1997'
Real Madrid CF,Spain,Jupp Heynckes,unknown,Predrag Mijatovic,winner,'1997/1998'
Juventus,Italy,Marcello Lippi,unknown,unknown,runner up,'1997/1998'
Manchester United FC,England,Sir Alex Ferguson,'4-4-2',David Beckham,winner,'1998/1999'
FC Bayern Munchen,Germany,Ottmar Hitzfeld,'4-4-2',unknown,runner up,'1998/1999'
Real Madrid CF,Spain,Vicente del Bosque,unknown,Raul,winner,'1999/2000'
Valencia CF,Spain,Héctor Cúper,unknown,unknown,runner up,'1999/2000'
FC Bayern Munchen,Germany,Ottmar Hitzfeld,unknown,Oliver Kahn,winner,'2000/2001'
Valencia CF,Spain,Héctor Cúper,unknown,unknown,runner up,'2000/2001'
Real Madrid CF,Spain,Vicente del Bosque,'4-4-2',Zinedine Zidane,winner,'2001/2002'
Bayer 04 Leverkusen,Germany,Klaus Toppmöller,'5-4-1',unknown,runner up,'2001/2002'
AC Milan,Italy,Carlo Ancelotti,'4-4-2',Paolo Maldini,winner,'2002/2003'
Juventus,Italy,Marcello Lippi,'4-3-3',unknown,runner up,'2002/2003'
FC Porto,Portugal,José Mourinho,'4-3-1-2',Deco,winner,'2003/2004'
AS Monaco,France,Didier Deschamps,'4-5-1',unknown,runner up,'2003/2004'
Liverpool FC,England,Rafael Benítez,'5-3-2',Steven Gerrard,winner,'2004/2005'
AC Milan,Italy,Carlo Ancelotti,'4-3-3',unknown,runner up,'2004/2005'
Barcelona FC,Spain,Frank Rijkaard,'4-3-3',Samuel Eto'o,winner,'2005/2006'
Arsenal FC,England,Arsène Wenger,'4-4-2',unknown,runner up,'2005/2006'
AC Milan,Italy,Carlo Ancelotti,'4-4-2',Filippo Inzaghi,winner,'2006/2007'
Liverpool FC,England,Rafael Benítez,'4-5-1',unknown,runner up,'2006/2007'
Manchester United FC,England,Sir Alex Ferguson,'4-4-2',Edwin van der Sar,winner,'2007/2008'
Chelsea FC,England,Avram Grant,'4-3-2-1',unknown,runner up,'2007/2008'
Barcelona FC,Spain,Josep Guardiola,'4-3-2-1',Xavi,winner,'2008/2009'
Manchester United FC,England,Sir Alex Ferguson,'4-3-3',unknown,runner up,'2008/2009'
FC Internazionale,Italy,José Mourinho,'4-3-3',Diego Milito,winner,'2009/2010'
FC Bayern Munchen,Germany,Louis van Gaal,'4-4-2',unknown,runner up,'2009/2010'
Barcelona FC,Spain,Josep Guardiola,'4-3-3',Lionel Messi,winner,'2010/2011'
Manchester United FC,England,Sir Alex Ferguson,'4-4-2',unknown,runner up,'2010/2011'
Chelsea FC,England,Roberto Di Matteo,'4-4-2',Didier Drogba,winner,'2011/2012'
FC Bayern Munchen,Germany,Jupp Heynckes,'4-2-3-1',unknown,runner up,'2011/2012'
FC Bayern Munchen,Germany,Jupp Heynckes,'4-4-2',Arjen Robben,winner,'2012/2013'
Borussia Dortmund,Germany,Jürgen Klopp,'4-5-1',unknown,runner up,'2012/2013'
Real Madrid CF,Spain,Carlo Ancelotti,'4-3-3',Ángel di María,winner,'2013/2014'
Club Atlético de madrid,Spain,Diego Simeone,'4-4-2',unknown,runner up,'2013/2014'
Barcelona FC,Spain,Luis Enrique,'4-3-3',Andres Iniesta,winner,'2014/2015'
Juventus,Italy,Massimiliano Allegri,'4-4-2',unknown,runner up,'2014/2015'
Real Madrid CF,Spain,Zinédine Zidane,'4-3-3',Sergio Ramos,winner,'2015/2016'
Club Atlético de madrid,Spain,Diego Simeone,'4-4-2',unknown,runner up,'2015/2016'
Real Madrid CF,Spain,Zinédine Zidane,'4-3-3',Cristiano Ronaldo,winner,'2016/2017'
Juventus,Italy,Massimiliano Allegri,'3-4-3',unknown,runner up,'2016/2017'
Real Madrid CF,Spain,Zinédine Zidane,'4-3-3',Gareth Bale,winner,'2017/2018'
Liverpool FC,England,Jürgen Klopp,'4-3-3',unknown,runner up,'2017/2018'
Liverpool FC,England,Jürgen Klopp,'4-3-3',Virgil van Dijk,winner,'2018/2019'
Tottenham Hotspur,England,Jürgen Klopp,'4-4-2',unknown,runner up,'2018/2019'
Bayern Munich,Germany,Hansi Flick,'4-2-3-1',Kingsley Coman,winner,'2019/2020'
Paris Saint-Germain,France,Thomas Tuchel,'4-3-3',unknown,runner-up,'2019/2020'
Chelsea FC,England,Thomas Tuchel,'3-4-2-1',N'Golo Kant�,winner,'2020/2021'
Manchester City,England,Pep Guardiola,'4-3-3',unknown,runner-up,'2020/2021'
Real Madrid,Spain,Carlo Ancelotti,'4-3-3',Thibaut Courtois,winner,'2021/2022'
Liverpool FC,England,J�rgen Klopp,'4-3-3',unknown,runner-up,'2021/2022'
Manchester City,England,Pep Guardiola,'3-2-4-1',Rodri,winner,'2022/2023'
Inter Milan,Italy,Simone Inzaghi,'3-5-2',unknown,runner-up,'2022/2023'
Real Madrid,Spain,Carlo Ancelotti,'4-3-1-2',Dani Carvajal,winner,'2023/2024'
Borussia Dortmund,Germany,Edin Terzi?,'4-2-3-1',unknown,runner-up,'2023/2024'
